Artist,Track,Duration,Popularity,mean_millennial_recognition,mean_gen_z_recognition,Danceability,Energy,Tempo
Barenaked Ladies,One Week,4:04,91,0.728784780163607,0.256912840246174,0.264,0.64,84.828
Mariah Carey,My All,2:17,89,0.325133395159505,0.17340330465766,0.504,0.308,113.95
Brandy,Have You Ever?,2:40,87,0.374129973438098,0.165090362744424,0.741,0.697,116.109
Keith Sweat,Nobody,3:00,86,0.127224242170308,0.109736181223851,0.358,0.284,99.796
Karyn White,Romantic,2:12,86,0.111855323160559,0.161891979188491,0.571,0.544,132.052
TLC,Creep,3:58,86,0.418878961946193,0.155975401010862,0.515,0.43,91.844
Cher,Believe,3:24,86,0.983380784635429,0.89943735309589,0.776,0.78,124.949
Smash Mouth,All Star,3:52,86,0.95183183955656,0.923792119186856,0.695,0.633,96.782
Brandy and Monica,The Boy Is Mine,2:53,86,0.597768416032035,0.338539958904409,0.795,0.63,97.998
Maxwell,Fortunate,2:20,85,0.0761790661115821,0.0595140595140595,0.64,0.663,132.77
Maxi Priest,Close To You,3:45,85,0.310513983306265,0.200892553965559,0.59,0.727,121.966
Brandy,Baby,1:37,85,0.195554631920802,0.115081215081215,0.762,0.604,168.007
Amy Grant,Baby Baby,1:37,85,0.277550239558613,0.0898077720233503,0.762,0.604,168.007
Janet Jackson,If,2:52,84,0.262589856653367,0.129665010915011,0.457,0.499,127.95
Red Hot Chili Peppers,Under The Bridge,4:24,84,0.835011970607418,0.542599841089051,0.559,0.345,84.581
Bell Biv DeVoe,Do Me!,3:56,84,0.117954821304946,0.0819912647920167,0.615,0.534,135.917
TLC,No Scrubs,3:34,83,0.893036084626158,0.667104309897821,0.743,0.675,92.909
R.E.M.,Losing My Religion,4:28,83,0.892840721984059,0.741027053588029,0.666,0.855,125.639
Jody Watley,Everything,4:05,82,0.0848311690401442,0.0809979030631205,0.704,0.225,120.006
Surface,The First Time,3:02,81,0.0757188543906455,0.0627547208006978,0.551,0.529,75.515
Janet Jackson,Runaway,9:07,80,0.264535814765688,0.0428606799256205,0.374,0.568,84.733
Janet Jackson,Alright,3:39,80,0.13590640847925,0.0536614011471697,0.796,0.766,110.034
Paula Abdul,Rush Rush,2:36,80,0.16363194896768,0.0837890424440952,0.728,0.841,125.991
Usher,My Way,3:39,80,0.233809986662367,0.156916517803726,0.818,0.913,119.986
Roxette,Joyride,2:30,80,0.264710707611886,0.152384817569711,0.788,0.898,115.96
Vanessa Williams and Brian McKnight,Love Is,4:15,80,0.206816967307087,0.0963082430083865,0.688,0.518,116.714
Nicki French,Total Eclipse Of The Heart,4:27,79,0.675354960380444,0.469983879466638,0.431,0.723,130.141
Bell Biv DeVoe,Poison,3:32,79,0.501404253925979,0.260027324015959,0.689,0.394,117.489
Savage Garden,I Want You,2:56,78,0.559080716674952,0.137609995368616,0.469,0.538,196.606
Scorpions,Wind Of Change,5:12,78,0.247488365297112,0.31258872085485,0.452,0.524,151.505
Bon Jovi,Always,3:43,78,0.49289631593794,0.345287929125138,0.174,0.742,163.378
Mark Morrison,Return Of The Mack,3:33,77,0.58369696245817,0.324459157433295,0.715,0.833,95.487
Lou Bega,Mambo No. 5,3:40,77,0.982905199568254,0.919295094006013,0.622,0.807,174.06
Roxette,It Must Have Been Love,4:18,77,0.619189185184276,0.429107820284291,0.52,0.652,80.61
Whitney Houston,I Will Always Love You,4:31,76,0.906713865872867,0.852950885796144,0.332,0.214,67.531
Celine Dion,Because You Loved Me,4:33,76,0.602934262380008,0.249018569342128,0.615,0.467,119.919
Kris Kross,Jump,3:38,76,0.72127168001214,0.551369398244398,0.811,0.823,106.929
Christina Aguilera,Genie In A Bottle,3:37,76,0.922636880055214,0.694315946898432,0.633,0.8,175.716
Mariah Carey,Honey,2:15,76,0.319619340150171,0.147477069909768,0.74,0.688,115.035
Janet Jackson,Again,3:13,76,0.230619516084587,0.13470695970696,0.664,0.738,119.973
Roxette,Dangerous,2:27,76,0.0839040082370404,0.101179366125018,0.635,0.772,119.017
Snap!,The Power,3:54,75,0.920342466677239,0.883444158444159,0.768,0.828,118.777
Alanis Morissette,Ironic,3:50,75,0.887611903629594,0.587672152194211,0.408,0.582,114.926
Extreme,More Than Words,5:34,75,0.633188261180491,0.350870297000328,0.626,0.134,91.893
Sarah McLachlan,Angel,3:55,75,0.538447266345151,0.193381433381433,0.74,0.766,170.531
Silk,Freak Me,3:28,75,0.112818597278689,0.0650494159928122,0.797,0.353,87.997
Mariah Carey,Fantasy,4:03,75,0.529657047007258,0.137453664326729,0.669,0.727,102.322
Celine Dion,My Heart Will Go On,4:40,75,0.974674479802537,0.963496768931551,0.428,0.276,99.195
Third Eye Blind,Semi-Charmed Life,4:28,75,0.731401717086385,0.439704184852745,0.64,0.864,102.026
Madonna,Take A Bow,3:49,74,0.349682542169214,0.0643631963787003,0.518,0.467,79.965
Tracy Chapman,Give Me One Reason,4:28,74,0.448424744892074,0.125487261187058,0.608,0.419,100.22
Whitney Houston,I Have Nothing,4:49,74,0.525907608622083,0.403866656415382,0.541,0.401,152.943
Janet Jackson,Come Back To Me,6:28,74,0.110958920775548,0.04494825708061,0.623,0.462,73.007
Duran Duran,Ordinary World,5:40,73,0.359052626262357,0.163532239819005,0.473,0.652,140.117
LL Cool J,Hey Lover,2:24,73,0.193915614906121,0.172708194583195,0.48,0.482,128.152
TLC,Waterfalls,4:39,73,0.846265364930983,0.496891996891997,0.769,0.505,171.804
Michael Jackson,Remember The Time,3:59,73,0.58594733073342,0.421049734242756,0.831,0.921,108.002
Vanilla Ice,Play That Funky Music,5:00,72,0.535401215614164,0.299518010507801,0.814,0.672,109.394
Mariah Carey,Someday,3:03,72,0.218315627876434,0.105322609593036,0.539,0.521,106.035
Alannah Myles,Black Velvet,4:47,72,0.621798688451372,0.395483567358567,0.75,0.366,91.138
Seal,Kiss From A Rose,4:48,72,0.877161582684379,0.51486557678368,0.584,0.533,131.745
Sugar Ray,Every Morning,3:39,72,0.636905525477456,0.259534615852951,0.833,0.679,109.917
Mariah Carey,Always Be My Baby,4:18,72,0.665111633697037,0.319952751067302,0.65,0.531,78.946
Mariah Carey,Hero,3:06,72,0.420584015173161,0.249585137085137,0.533,0.967,142.018
Shaggy,Boombastic,4:09,71,0.604677127602295,0.371050860592218,0.867,0.538,158.328
En Vogue,Hold On,3:47,71,0.193046304694698,0.0785707818228144,0.777,0.414,100.002
Sheryl Crow,All I Wanna Do,4:32,71,0.75842629593559,0.329596082557659,0.82,0.528,120.089
Meredith Brooks,Bitch,5:10,71,0.57331355419616,0.18246803776876,0.587,0.698,133.954
Wilson Phillips,Hold On,3:47,71,0.555076870890871,0.22856087979178,0.777,0.414,100.002
Vanilla Ice,Ice Ice Baby,4:14,70,0.682883088907992,0.460387068370577,0.979,0.792,116.012
Madonna,Erotica,1:56,70,0.195616683023112,0.0660342835800153,0.705,0.729,159.012
Damn Yankees,High Enough,3:51,70,0.0655789952952016,0.0645840782163563,0.606,0.62,88.984
Atlantic Starr,Masterpiece,3:26,70,0.0905828978449276,0.0603064482521189,0.324,0.863,177.985
Celine Dion,All By Myself,5:12,69,0.754834971885518,0.531798895941044,0.344,0.325,118.515
Donna Lewis,I Love You Always Forever,3:59,69,0.596728077323646,0.269868557368557,0.744,0.453,103.773
Michael Bolton,How Am I Supposed To Live Without You,4:15,69,0.446315717016527,0.245248408590127,0.541,0.44,140.273
Toni Braxton,Un-Break My Heart,4:30,69,0.901616287412525,0.584686740240068,0.625,0.426,110.021
Dru Hill,In My Bed,5:54,69,0.0910472510375993,0.0548293493945668,0.576,0.608,150.9
Keith Sweat,Twisted,3:08,69,0.196850507688558,0.164533969787593,0.581,0.983,110.038
Pearl Jam,Last Kiss,6:09,69,0.557767890731942,0.190108617389319,0.557,0.362,79.573
M.C. Hammer,Pray,3:19,68,0.143284995080108,0.112358632976482,0.2,0.977,195.711
Eric Clapton,Tears In Heaven,4:31,68,0.57660443634633,0.277679416701039,0.498,0.242,153.744
Savage Garden,Truly Madly Deeply,4:37,68,0.633496168201243,0.195978250649904,0.555,0.698,168.12
Billy Ray Cyrus,Achy Breaky Heart,3:23,68,0.801641203053987,0.533773831114257,0.8,0.563,121.808
Brian McKnight,Back At One,4:23,68,0.476492247307912,0.0903127987430313,0.66,0.347,129.747
Michael Jackson,Black Or White,4:14,68,0.893535723996891,0.812752525252525,0.518,0.901,115.026
Ini Kamoze,Here Comes The Hotstepper,4:10,68,0.616747471204115,0.311014517092103,0.889,0.453,100.358
Monica,The First Night,3:20,68,0.152666374791097,0.0804856966941366,0.678,0.733,121.009
Bryan Adams,Have You Ever Really Loved A Woman?,4:51,68,0.340443114273311,0.119707658701977,0.57,0.478,145.517
Madonna,Vogue,5:16,67,0.686213331902241,0.466935419302889,0.737,0.88,115.997
LeAnn Rimes,How Do I Live,4:26,67,0.518571427861561,0.189174655132102,0.577,0.462,128.303
Michael Jackson,You Are Not Alone,5:45,67,0.774254450836188,0.628179689616471,0.651,0.402,119.873
Mariah Carey,Emotions,2:11,67,0.353858493148591,0.279052608810037,0.63,0.631,80.512
Madonna,Frozen,2:41,67,0.543079852136704,0.288596289631701,0.179,0.0058,72.177
Enigma,Return To Innocence,4:15,67,0.42248620270675,0.149731494243689,0.476,0.584,88.026
Mr. Big,To Be With You,3:28,67,0.562953970933378,0.189201740165791,0.688,0.284,83.433
Montell Jordan,This Is How We Do It,3:58,66,0.845502599589357,0.623134994931334,0.799,0.623,103.642
Heart,All I Wanna Do Is Make Love To You,5:10,66,0.260240289697537,0.157102834541859,0.626,0.746,102.896
Jennifer Lopez,If You Had My Love,4:26,66,0.755161301213843,0.303283089776479,0.68,0.625,94.02
Michael Bolton,When A Man Loves A Woman,2:53,66,0.406330572589411,0.206435394670689,0.516,0.15,97.398
Styx,Show Me The Way,4:03,65,0.157480141434413,0.121050815444408,0.7,0.726,130.109
Next,Too Close,2:50,65,0.45576149274852,0.139804292929293,0.42,0.558,165.987
Vanessa Williams,Save The Best For Last,3:38,65,0.422470305076337,0.123492793595075,0.528,0.234,95.911
Boyz II Men,End Of The Road,2:42,65,0.485813327467739,0.208811831655884,0.373,0.717,109.977
Babyface,When Can I See You,3:38,65,0.145571373274531,0.0389261524331451,0.638,0.831,127.975
All Saints,Never Ever,2:16,65,0.392429382234338,0.0838792163289067,0.622,0.542,174.494
Jennifer Paige,Crush,3:09,65,0.576309026421,0.2807942627689,0.631,0.793,136.96
Merril Bainbridge,Mouth,3:57,64,0.205990484620104,0.0732737405752642,0.329,0.954,156.899
Phil Collins,I Wish It Would Rain Down,5:27,64,0.177685252858848,0.0958685857826404,0.51,0.667,125.887
Real McCoy,Run Away,3:21,64,0.512466651186139,0.216579324422462,0.542,0.218,127.569
EMF,Unbelievable,3:29,64,0.632689280997374,0.315179949389093,0.636,0.848,104.073
Billy Joel,The River Of Dreams,4:07,64,0.515147935415111,0.189951356886841,0.631,0.749,89.646
Real McCoy,Another Night,2:50,64,0.749767919199301,0.437278248133462,0.702,0.71,158.129
Janet Jackson,Black Cat,1:39,64,0.132652454421954,0.10641004753908,0.495,0.616,77.516
Color Me Badd,All 4 Love,3:50,64,0.142917321266395,0.128325745676451,0.399,0.481,103.379
Crash Test Dummies,Mmm Mmm Mmm Mmm,3:55,64,0.343422001701707,0.119683084037304,0.58,0.575,92.934
Shania Twain,From This Moment On,3:57,63,0.487531514984844,0.22490107786177,0.449,0.538,135.765
Lisa Stansfield,All Around The World,2:27,63,0.480335884566685,0.237935505181882,0.733,0.859,124.948
Snow,Informer,4:28,63,0.527581636174407,0.29433967362886,0.763,0.742,98.145
Janet,Together Again,5:01,63,0.441710776760527,0.0937670768782829,0.865,0.505,123.102
SWV,Weak,3:21,63,0.140010722164264,0.0812815656565657,0.67,0.643,123.977
Madonna,Secret,2:32,62,0.438322770946471,0.160488012475537,0.729,0.74,124.069
Jon Bon Jovi,Blaze Of Glory,5:35,62,0.189137663635555,0.153078403078403,0.55,0.618,78.61
Vanessa Williams,Colors Of The Wind,3:34,62,0.650754129611723,0.331696870667459,0.307,0.164,79.101
Monica,Angel Of Mine,4:10,62,0.321266353684792,0.0908355747091305,0.592,0.562,90.16
Shai,If I Ever Fall In Love,3:09,61,0.193998293135974,0.0707374040707374,0.402,0.205,143.994
Enrique Iglesias,Bailamos,3:32,61,0.909324773225771,0.598432696530523,0.629,0.885,99.881
702,Where My Girls At?,2:46,60,0.553481453096974,0.244176115143857,0.705,0.725,92.186
All-4-One,I Swear,3:20,60,0.754516417390222,0.380642400329307,0.59,0.572,89.721
Coolio,Fantastic Voyage,5:34,60,0.325169469405887,0.176946240432611,0.888,0.584,104.705
Toni Braxton,Breathe Again,4:29,60,0.184933654963056,0.124834041500708,0.689,0.677,153.922
TLC,Unpretty,4:38,60,0.514645189883143,0.214719914719915,0.648,0.622,88.684
Boyz II Men,Motownphilly,3:55,59,0.302773220514389,0.107026404790632,0.754,0.857,114.143
Shanice,I Love Your Smile,4:17,59,0.197253796107514,0.0748084152689416,0.722,0.842,93.954
R. Kelly,I Believe I Can Fly,5:20,59,0.962349709280719,0.819578741797448,0.55,0.444,120.179
Poison,Unskinny Bop,3:48,59,0.198513614795949,0.10839669584264,0.574,0.93,92.303
Elton John,Can You Feel The Love Tonight,2:57,59,0.908501303364573,0.716675070740221,0.316,0.132,78.933
Phil Collins,Something Happened On The Way To Heaven,4:51,59,0.433985831839305,0.322765244776539,0.656,0.88,114.613
Janet Jackson,"Any Time, Any Place",7:08,59,0.0912503586584146,0.0689721462747779,0.571,0.232,128.785
Color Me Badd,I Wanna Sex You Up,3:56,59,0.376933108711316,0.137166492005202,0.551,0.591,201.81
Onyx,Slam,3:38,59,0.368438135710712,0.231713628798028,0.876,0.71,98.312
Tracie Spencer,This House,3:40,59,0.0490235353804974,0.0578374700191338,0.527,0.142,105.96
Taylor Dayne,Love Will Lead You Back,4:37,58,0.0543237304395671,0.0317228255824747,0.547,0.513,73.214
Mariah Carey,Dreamlover,3:53,58,0.464490820941305,0.163832558736445,0.717,0.524,100.595
LFO,Summer Girls,4:17,58,0.513003778204978,0.143376068376068,0.814,0.808,99.816
LSG,My Body,4:04,58,0.110549128923993,0.0549106217079341,0.486,0.9,130.0
Adina Howard,Freak Like Me,4:13,58,0.207477678415825,0.13989156268568,0.655,0.837,91.014
Wreckx-N-Effect,Rump Shaker,5:12,57,0.46910117708596,0.148084561570169,0.888,0.822,102.753
Wilson Phillips,Release Me,2:49,57,0.127726885649481,0.0602857434283383,0.152,0.00504,136.702
Wilson Phillips,Impulsive,1:56,57,0.104148668256737,0.0773623848167459,0.612,0.885,115.01
Timmy T,One More Try,5:50,57,0.0925438216833522,0.103402557195127,0.551,0.291,119.005
Celine Dion,Where Does My Heart Beat Now,4:32,57,0.199971768288937,0.101493527467365,0.528,0.62,74.051
Mariah Carey,Vision Of Love,3:29,56,0.181931875064625,0.0962542424663767,0.256,0.464,205.362
Joan Osborne,One Of Us,3:43,56,0.910126438353255,0.664560308972074,0.46,0.951,89.961
Mariah Carey,Love Takes Time,3:49,56,0.234433509258953,0.257201270076687,0.403,0.338,126.23
Jesus Jones,"Right Here, Right Now",3:09,56,0.361924451333476,0.0967902618120379,0.657,0.608,106.862
Monica,For You I Will,4:54,56,0.419984209378147,0.20485036119711,0.652,0.473,123.208
Celine Dion,If You Asked Me To,3:54,55,0.185746269981071,0.0681608878560934,0.46,0.437,172.382
TLC,Red Light Special,5:03,55,0.194438932376321,0.0666931216931217,0.52,0.449,189.243
Gloria Estefan,Coming Out Of The Dark,2:53,55,0.0578757157103452,0.0503967521390389,0.63,0.44,140.01
Boyz II Men,On Bended Knee,5:29,55,0.314860239112321,0.131662896311725,0.631,0.516,116.655
Whitney Houston,All The Man That I Need,4:11,54,0.208638052527614,0.130492926798151,0.496,0.571,150.944
Divine,Lately,1:17,53,0.163568378035527,0.10384968301635,0.751,0.503,100.016
Michael Bolton,How Can We Be Lovers,3:55,53,0.290096018131007,0.200688881148651,0.399,0.708,207.424
Bette Midler,From A Distance,4:36,53,0.310590731212377,0.103204493400572,0.536,0.242,137.989
Jodeci,Lately,1:17,53,0.108321405538907,0.0458712813188517,0.751,0.503,100.016
Poison,Something To Believe In,3:48,53,0.117603962309376,0.0982636123940472,0.623,0.886,92.021
Mariah Carey,I Still Believe,3:12,53,0.291564599858292,0.181685610362081,0.391,0.721,85.666
Janet Jackson,Escapade,4:43,52,0.194548317189089,0.109852194673751,0.806,0.954,115.229
Extreme,Hole Hearted,3:39,51,0.0825728543913571,0.0477374551971326,0.4,0.747,203.396
Tara Kemp,Hold You Tight,5:04,51,0.0503953952916959,0.0372918317711038,0.537,0.521,135.589
George Michael,Praying For Time,4:40,51,0.0743358289502926,0.080192846369317,0.579,0.64,127.788
Boyz II Men,Water Runs Dry,3:21,51,0.28881308357887,0.123544973544974,0.589,0.368,89.63
Ralph Tresvant,Sensitivity,4:41,51,0.120362544024081,0.0851381461364299,0.683,0.661,96.956
Marc Anthony,I Need To Know,3:47,51,0.643958360318034,0.342174053083766,0.813,0.949,115.061
TLC,Baby-Baby-Baby,5:15,50,0.116890180123992,0.0785323545849862,0.679,0.597,184.174
Rod Stewart,Downtown Train,3:52,50,0.202166522434594,0.0666398282340311,0.648,0.363,115.765
Madonna,This Used To Be My Playground,5:10,50,0.16309883931276,0.0881185558268892,0.499,0.308,75.91
Alias,More Than Words Can Say,3:54,50,0.0750308366773615,0.107533564501069,0.412,0.376,69.064
New Edition,Hit Me Off,4:21,50,0.139811756701514,0.0698447609737932,0.72,0.719,88.987
Billy Idol,Cradle Of Love,4:41,50,0.117070428205564,0.0872300238153896,0.612,0.942,144.038
Milli Vanilli,All Or Nothing,3:30,48,0.0874693464013853,0.0458867906784573,0.419,0.785,152.053
Changing Faces,Stroke You Up,3:36,48,0.0659212963335085,0.0222537878787879,0.73,0.731,131.396
Johnny Gill,Rub You The Right Way,5:32,47,0.114988739459081,0.109788329688205,0.66,0.873,111.872
Whitney Houston,I Believe In You And Me,4:01,47,0.31906154077984,0.263933815111351,0.434,0.268,119.804
Joe Public,Live And Learn,2:31,46,0.217714157042224,0.127572079907232,0.72,0.653,158.111
Boyz II Men,4 Seasons Of Loneliness,4:52,45,0.157128156343829,0.0614003985432557,0.58,0.488,98.49
R. Kelly,You Remind Me Of Something,4:09,44,0.148955024549074,0.0725755725755726,0.631,0.536,59.999
Madonna,Justify My Love,5:00,44,0.188739059874952,0.0947510447510447,0.696,0.655,99.648
Boyz II Men,In The Still Of The Nite,2:49,42,0.153015779609402,0.0342408927395247,0.537,0.184,77.813
Seduction,Two To Make It Right,4:42,41,0.224287750138172,0.140453789042499,0.772,0.598,114.419
Color Me Badd,I Adore Mi Amor,4:49,41,0.0881670037537988,0.0983148480288068,0.683,0.476,91.99
Michael Bolton,Love Is A Wonderful Thing,4:42,41,0.193446581975245,0.136423384168482,0.727,0.824,125.104
Shanice,Saving Forever For You,4:28,40,0.151422483719232,0.141782002913041,0.655,0.545,133.358
Amy Grant,Every Heartbeat,3:33,39,0.184151152680937,0.103026568486927,0.648,0.89,126.956
Paula Abdul,The Promise Of A New Day,4:32,37,0.109906238368964,0.0431156606026282,0.754,0.82,119.835
Sweet Sensation,If Wishes Came True,5:15,33,0.0548862884485872,0.0515673149601721,0.493,0.453,143.725
Calloway,I Wanna Be Rich,5:04,33,0.078017927567368,0.0564244216205,0.733,0.781,114.181
Pebbles,Giving You The Benefit,5:41,33,0.0883538999158209,0.0751652647968959,0.706,0.8,103.074
