"artist","song","mean_millennial_recognition","mean_gen_z_recognition"
"2 Pac","California Love",0.517601512619463,0.268377942720048
"2Pac","How Do U Want It",0.209631620862178,0.0624394969503665
"702","Where My Girls At?",0.553481453096974,0.244176115143857
"Ace Of Base","All That She Wants",0.830967321447322,0.540097306201754
"Ace Of Base","Don't Turn Around",0.623148629903507,0.372786853557826
"Ace Of Base","The Sign",0.879769207133577,0.597304467747343
"Adina Howard","Freak Like Me",0.207477678415825,0.13989156268568
"Aerosmith","I Don't Want To Miss A Thing",0.908948741011344,0.665521274387307
"Aerosmith","Janie's Got A Gun",0.434987830996117,0.174083224201011
"Alanis Morissette","Ironic",0.887611903629594,0.587672152194211
"Alannah Myles","Black Velvet",0.621798688451372,0.395483567358567
"Alias","More Than Words Can Say",0.0750308366773615,0.107533564501069
"All Saints","Never Ever",0.392429382234338,0.0838792163289067
"All-4-One","I Swear",0.754516417390222,0.380642400329307
"Allure","All Cried Out",0.155669856526559,0.0974178830536942
"Amy Grant","Baby Baby",0.277550239558613,0.0898077720233503
"Amy Grant","Every Heartbeat",0.184151152680937,0.103026568486927
"Atlantic Starr","Masterpiece",0.0905828978449276,0.0603064482521189
"B-52's, The","Roam",0.558512219313201,0.201255095582126
"BLACKstreet","No Diggity",0.79261893080166,0.53055331634422
"Babyface","When Can I See You",0.145571373274531,0.0389261524331451
"Backstreet Boys, The","Everybody",0.966932806211018,0.857472058657403
"Backstreet Boys, The","Quit Playing Games",0.756691201741974,0.299311898105002
"Barenaked Ladies","One Week",0.728784780163607,0.256912840246174
"Bell Biv DeVoe","Do Me!",0.117954821304946,0.0819912647920167
"Bell Biv DeVoe","Poison",0.501404253925979,0.260027324015959
"Bette Midler","From A Distance",0.310590731212377,0.103204493400572
"Billy Idol","Cradle Of Love",0.117070428205564,0.0872300238153896
"Billy Joel","The River Of Dreams",0.515147935415111,0.189951356886841
"Billy Ray Cyrus","Achy Breaky Heart",0.801641203053987,0.533773831114257
"Bobby Brown","Humpin' Around",0.288616426233476,0.160116664524559
"Bon Jovi","Always",0.49289631593794,0.345287929125138
"Bone Thugs N Harmony","Look Into My Eyes",0.109715235343285,0.0299445364401258
"Bone Thugs N Harmony","Tha Crossroads",0.370059102706819,0.101319989509279
"Boyz II Men","4 Seasons Of Loneliness",0.157128156343829,0.0614003985432557
"Boyz II Men","End Of The Road",0.485813327467739,0.208811831655884
"Boyz II Men","I'll Make Love To You",0.382068566674811,0.130839788885766
"Boyz II Men","In The Still Of The Nite",0.153015779609402,0.0342408927395247
"Boyz II Men","It's So Hard To Say Goodbye To Yesterday",0.25827572216028,0.154819733024317
"Boyz II Men","Motownphilly",0.302773220514389,0.107026404790632
"Boyz II Men","On Bended Knee",0.314860239112321,0.131662896311725
"Boyz II Men","Water Runs Dry",0.28881308357887,0.123544973544974
"Brandy and Monica","The Boy Is Mine",0.597768416032035,0.338539958904409
"Brandy","Baby",0.195554631920802,0.115081215081215
"Brandy","Have You Ever?",0.374129973438098,0.165090362744424
"Brandy","Sittin' Up In My Room",0.170897003875086,0.112220370199094
"Brian McKnight","Back At One",0.476492247307912,0.0903127987430313
"Britney Spears","..Baby One More Time",0.991850907029479,0.961960321147725
"Bryan Adams","All For Love",0.328097073396051,0.217262928563238
"Bryan Adams","Can't Stop This Thing We Started",0.2922841830569,0.22623590734898
"Bryan Adams","Everything I Do I Do It For You",0.72325819340622,0.415711701279417
"Bryan Adams","Have You Ever Really Loved A Woman?",0.340443114273311,0.119707658701977
"Busta Rhymes","What's It Gonna Be?!",0.161180529620747,0.0638450438450438
"C and C Music Factory","Gonna Make You Sweat",0.873686203128234,0.689387768664084
"C and C Music Factory","Here We Go",0.42458856207349,0.312739537196059
"C+C Music Factory","Things That Make You Go Hmmmm",0.225337241591328,0.130729994700583
"Calloway","I Wanna Be Rich",0.078017927567368,0.0564244216205
"Cathy Dennis","Touch Me",0.16977898940007,0.106450252599678
"Celine Dion","All By Myself",0.754834971885518,0.531798895941044
"Celine Dion","Because You Loved Me",0.602934262380008,0.249018569342128
"Celine Dion","If You Asked Me To",0.185746269981071,0.0681608878560934
"Celine Dion","It's All Coming Back To Me Now",0.549150064299253,0.205225310488468
"Celine Dion","My Heart Will Go On",0.974674479802537,0.963496768931551
"Celine Dion","The Power Of Love",0.570966659906507,0.30958303876517
"Celine Dion","Where Does My Heart Beat Now",0.199971768288937,0.101493527467365
"Changing Faces","Stroke You Up",0.0659212963335085,0.0222537878787879
"Cher","Believe",0.983380784635429,0.89943735309589
"Christina Aguilera","Genie In A Bottle",0.922636880055214,0.694315946898432
"Color Me Badd","All 4 Love",0.142917321266395,0.128325745676451
"Color Me Badd","I Adore Mi Amor",0.0881670037537988,0.0983148480288068
"Color Me Badd","I Wanna Sex You Up",0.376933108711316,0.137166492005202
"Coolio","Fantastic Voyage",0.325169469405887,0.176946240432611
"Coolio","Gangsta's Paradise",0.92318649762982,0.818843145582276
"Crash Test Dummies","Mmm Mmm Mmm Mmm",0.343422001701707,0.119683084037304
"D.R.S.","Gangsta Lean",0.0865866054987978,0.0529265873015873
"DJ Jazzy Jeff and The Fresh Prince","Summertime",0.419005172240431,0.172434813248767
"Damn Yankees","High Enough",0.0655789952952016,0.0645840782163563
"Deborah Cox","Nobody's Supposed To Be Here",0.210408309849465,0.081187878230889
"Deee-Lite","Groove Is In The Heart",0.600186359432314,0.304816691996321
"Destiny's Child","Bills, Bills, Bills",0.693183723214471,0.381127450980392
"Divine","Lately",0.163568378035527,0.10384968301635
"Donna Lewis","I Love You Always Forever",0.596728077323646,0.269868557368557
"Dr. Dre","Nuthin' But A G Thang",0.575743038960783,0.39030767573689
"Dru Hill","How Deep Is Your Love",0.316019473395174,0.0993905387722592
"Dru Hill","In My Bed",0.0910472510375993,0.0548293493945668
"Duran Duran","Ordinary World",0.359052626262357,0.163532239819005
"EMF","Unbelievable",0.632689280997374,0.315179949389093
"Elton John","Can You Feel The Love Tonight",0.908501303364573,0.716675070740221
"Elton John","Candle In The Wind",0.516771231143069,0.182173127000713
"En Vogue","Don't Let Go",0.406099864214804,0.16540404040404
"En Vogue","Hold On",0.193046304694698,0.0785707818228144
"En Vogue","My Lovin'",0.525319601309913,0.255602834266627
"Enigma","Return To Innocence",0.42248620270675,0.149731494243689
"Enrique Iglesias","Bailamos",0.909324773225771,0.598432696530523
"Eric Clapton","Tears In Heaven",0.57660443634633,0.277679416701039
"Everything But The Girl","Missing",0.371831022752034,0.0982042893333216
"Extreme","Hole Hearted",0.0825728543913571,0.0477374551971326
"Extreme","More Than Words",0.633188261180491,0.350870297000328
"George Michael","Don't Let The Sun Go Down On Me",0.379962425113052,0.224147247088424
"George Michael","Praying For Time",0.0743358289502926,0.080192846369317
"Glenn Medeiros","She Ain't Worth It",0.0784786530681082,0.166723390056723
"Gloria Estefan","Coming Out Of The Dark",0.0578757157103452,0.0503967521390389
"Guns N' Roses","November Rain",0.386223628410236,0.24404174084481
"H-Town","Knockin' Da Boots",0.0597371723386868,0.0194828469022017
"Hanson","MMMbop",0.670105372715829,0.293517726367091
"Heart","All I Wanna Do Is Make Love To You",0.260240289697537,0.157102834541859
"Heights, The","How Do You Talk To An Angel",0.24583093247802,0.1039399938297
"Hi-Five","I Like The Way",0.147249931433135,0.073499076809346
"House Of Pain","Jump Around",0.893817267710996,0.795664663714948
"Ini Kamoze","Here Comes The Hotstepper",0.616747471204115,0.311014517092103
"Jade","Don't Walk Away",0.236773828095244,0.128354978354978
"James Ingram","I Don't Have The Heart",0.241529424277855,0.204088456588457
"Jane Child","Don't Wanna Fall In Love",0.122838204025828,0.103721262054595
"Janet Jackson","Again",0.230619516084587,0.13470695970696
"Janet Jackson","Alright",0.13590640847925,0.0536614011471697
"Janet Jackson","And On And On",0.0775851989553121,0.0500949667616334
"Janet Jackson","Any Time, Any Place",0.0912503586584146,0.0689721462747779
"Janet Jackson","Black Cat",0.132652454421954,0.10641004753908
"Janet Jackson","Come Back To Me",0.110958920775548,0.04494825708061
"Janet Jackson","Escapade",0.194548317189089,0.109852194673751
"Janet Jackson","If",0.262589856653367,0.129665010915011
"Janet Jackson","Love Will Never Do",0.130514277741242,0.112093495934959
"Janet Jackson","Runaway",0.264535814765688,0.0428606799256205
"Janet Jackson","That's The Way Love Goes",0.221102430646202,0.0940151997332848
"Janet","I Get Lonely",0.1827279612534,0.124828934506354
"Janet","Together Again",0.441710776760527,0.0937670768782829
"Jennifer Lopez","If You Had My Love",0.755161301213843,0.303283089776479
"Jennifer Paige","Crush",0.576309026421,0.2807942627689
"Jessica Simpson","I Wanna Love You Forever",0.175144693224229,0.116861296572181
"Jesus Jones","Real, Real, Real",0.0433509979705181,0.0756679687254722
"Jesus Jones","Right Here, Right Now",0.361924451333476,0.0967902618120379
"Jewel","You Were Meant For Me",0.53975214392638,0.198250360750361
"Joan Osborne","One Of Us",0.910126438353255,0.664560308972074
"Jodeci","Lately",0.108321405538907,0.0458712813188517
"Jody Watley","Everything",0.0848311690401442,0.0809979030631205
"Joe Public","Live And Learn",0.217714157042224,0.127572079907232
"John Mellencamp","Wild Night",0.233000031489096,0.0512043189368771
"Johnny Gill","Rub You The Right Way",0.114988739459081,0.109788329688205
"Jon Bon Jovi","Blaze Of Glory",0.189137663635555,0.153078403078403
"K-Ci and JoJo","All My Life",0.618631233960783,0.191354430258416
"K-Ci and JoJo","Tell Me It's Real",0.239483754448937,0.0498944387555151
"Karyn White","Romantic",0.111855323160559,0.161891979188491
"Keith Sweat","Nobody",0.127224242170308,0.109736181223851
"Keith Sweat","Twisted",0.196850507688558,0.164533969787593
"Kris Kross","Jump",0.72127168001214,0.551369398244398
"LFO","Summer Girls",0.513003778204978,0.143376068376068
"LL Cool J","Hey Lover",0.193915614906121,0.172708194583195
"LL Cool J","Loungin'",0.12146081299348,0.045523313281934
"LSG","My Body",0.110549128923993,0.0549106217079341
"Lauryn Hill","Doo Wop",0.53733437844119,0.18153617287238
"LeAnn Rimes","How Do I Live",0.518571427861561,0.189174655132102
"Lenny Kravitz","It Ain't Over Til It's Over",0.540317643861583,0.298521710115913
"Lisa Loeb and Nine Stories","Stay",0.401620311067208,0.116258741258741
"Lisa Stansfield","All Around The World",0.480335884566685,0.237935505181882
"Londonbeat","I've Been Thinking About You",0.398111534086756,0.329059829059829
"Los Del Rio","Macarena",0.974079498305242,0.866159632281383
"Lou Bega","Mambo No. 5",0.982905199568254,0.919295094006013
"Luther Vandross","Endless Love",0.371613129391216,0.202324278548629
"Luther Vandross","Power Of Love",0.232787810718613,0.11783854603622
"M.C. Hammer","Have You Seen Her",0.0727346324866358,0.0846828157786412
"M.C. Hammer","Pray",0.143284995080108,0.112358632976482
"Madonna","Erotica",0.195616683023112,0.0660342835800153
"Madonna","Frozen",0.543079852136704,0.288596289631701
"Madonna","I'll Remember",0.277985480983639,0.117862025601964
"Madonna","Justify My Love",0.188739059874952,0.0947510447510447
"Madonna","Secret",0.438322770946471,0.160488012475537
"Madonna","Take A Bow",0.349682542169214,0.0643631963787003
"Madonna","This Used To Be My Playground",0.16309883931276,0.0881185558268892
"Madonna","Vogue",0.686213331902241,0.466935419302889
"Marc Anthony","I Need To Know",0.643958360318034,0.342174053083766
"Mariah Carey","Always Be My Baby",0.665111633697037,0.319952751067302
"Mariah Carey","Can't Let Go",0.20342733107952,0.134466976535942
"Mariah Carey","Dreamlover",0.464490820941305,0.163832558736445
"Mariah Carey","Emotions",0.353858493148591,0.279052608810037
"Mariah Carey","Fantasy",0.529657047007258,0.137453664326729
"Mariah Carey","Heartbreaker",0.470299015113907,0.2016964723966
"Mariah Carey","Hero",0.420584015173161,0.249585137085137
"Mariah Carey","Honey",0.319619340150171,0.147477069909768
"Mariah Carey","I Don't Wanna Cry",0.178590250329381,0.160135224847055
"Mariah Carey","I Still Believe",0.291564599858292,0.181685610362081
"Mariah Carey","I'll Be There",0.570739711838456,0.285804918891317
"Mariah Carey","Love Takes Time",0.234433509258953,0.257201270076687
"Mariah Carey","My All",0.325133395159505,0.17340330465766
"Mariah Carey","Never Forget You",0.229508334884981,0.191409767466497
"Mariah Carey","One Sweet Day",0.457701674133175,0.179364769690857
"Mariah Carey","Someday",0.218315627876434,0.105322609593036
"Mariah Carey","Vision Of Love",0.181931875064625,0.0962542424663767
"Mariah Carey","Without You",0.594262869878868,0.313594461094461
"Mark Morrison","Return Of The Mack",0.58369696245817,0.324459157433295
"Marky Mark and The Funky Bunch","Good Vibrations",0.785567898657693,0.620917733372493
"Mary J. Blige","Not Gon' Cry",0.100338219092223,0.0762047314052327
"Maxi Priest","Close To You",0.310513983306265,0.200892553965559
"Maxwell","Fortunate",0.0761790661115821,0.0595140595140595
"Meat Loaf","I'd Do Anything For Love",0.583574717978794,0.278335331081327
"Meredith Brooks","Bitch",0.57331355419616,0.18246803776876
"Merril Bainbridge","Mouth",0.205990484620104,0.0732737405752642
"Method Man","I'll Be There For You",0.210385773338106,0.0963751526251526
"Michael Bolton","How Am I Supposed To Live Without You",0.446315717016527,0.245248408590127
"Michael Bolton","How Can We Be Lovers",0.290096018131007,0.200688881148651
"Michael Bolton","Love Is A Wonderful Thing",0.193446581975245,0.136423384168482
"Michael Bolton","When A Man Loves A Woman",0.406330572589411,0.206435394670689
"Michael Jackson","Black Or White",0.893535723996891,0.812752525252525
"Michael Jackson","Remember The Time",0.58594733073342,0.421049734242756
"Michael Jackson","You Are Not Alone",0.774254450836188,0.628179689616471
"Milli Vanilli","All Or Nothing",0.0874693464013853,0.0458867906784573
"Monica","Angel Of Mine",0.321266353684792,0.0908355747091305
"Monica","Don't Take It Personal",0.165648932806219,0.0716398751692869
"Monica","For You I Will",0.419984209378147,0.20485036119711
"Monica","The First Night",0.152666374791097,0.0804856966941366
"Montell Jordan","Let's Ride",0.121950256817115,0.0817080093395883
"Montell Jordan","This Is How We Do It",0.845502599589357,0.623134994931334
"Mr. Big","To Be With You",0.562953970933378,0.189201740165791
"Nelson","Can't Live Without Your Love And Affection",0.0925765654118,0.0712297068041071
"New Edition","Hit Me Off",0.139811756701514,0.0698447609737932
"New Kids On The Block","Step By Step",0.277715176598711,0.184324090201105
"Next","Too Close",0.45576149274852,0.139804292929293
"Nicki French","Total Eclipse Of The Heart",0.675354960380444,0.469983879466638
"Notorious B.I.G., The","Hypnotize",0.633514480291171,0.436283213765483
"Notorious B.I.G., The","Mo Money, Mo Problems",0.627423707637687,0.347401428980376
"Notorious B.I.G., The","One More Chance-Stay With Me",0.373618145389953,0.143114658225485
"Notorious B.I.G., The","The What",0.393078890624578,0.33280649540518
"Onyx","Slam",0.368438135710712,0.231713628798028
"PM Dawn","I'd Die Without You",0.0484101513906194,0.0228978978978979
"PM Dawn","Set Adrift On Memory Bliss",0.167694426233844,0.0669281045751634
"Patty Smyth","Sometimes Love Just Ain't Enough",0.210633563401089,0.104734113728432
"Paula Abdul","Opposites Attract",0.322589176033034,0.153124123094412
"Paula Abdul","Rush Rush",0.16363194896768,0.0837890424440952
"Paula Abdul","The Promise Of A New Day",0.109906238368964,0.0431156606026282
"Peabo Bryson and Regina Bell","A Whole New World",0.855389990692236,0.700489771666242
"Pearl Jam","Last Kiss",0.557767890731942,0.190108617389319
"Pebbles","Giving You The Benefit",0.0883538999158209,0.0751652647968959
"Phil Collins","Do You Remember?",0.146978825778811,0.120687919338381
"Phil Collins","I Wish It Would Rain Down",0.177685252858848,0.0958685857826404
"Phil Collins","Something Happened On The Way To Heaven",0.433985831839305,0.322765244776539
"Poison","Something To Believe In",0.117603962309376,0.0982636123940472
"Poison","Unskinny Bop",0.198513614795949,0.10839669584264
"Prince","Diamonds And Pearls",0.0635322645245603,0.104577521244188
"Proclaimers, The","I'm Gonna Be",0.867221282465091,0.645166353305026
"Puff Daddy and Faith Evans","I'll Be Missing You",0.893364277632122,0.647585458790362
"Puff Daddy","Been Around The World",0.354349400804824,0.160649551597827
"Puff Daddy","Can't Nobody Hold Me Down",0.452602377469291,0.364862114862115
"Puff Daddy","Satisfy You",0.218196841134537,0.151638189232161
"Quad City DJ's","C'Mon N' Ride It",0.346534169934765,0.0758447172240276
"R. Kelly","Bump N' Grind",0.267914834347549,0.0995988351456959
"R. Kelly","Down Low",0.0970592626170759,0.0344658944658945
"R. Kelly","I Believe I Can Fly",0.962349709280719,0.819578741797448
"R. Kelly","I'm Your Angel",0.326991790080197,0.148697334552598
"R. Kelly","You Remind Me Of Something",0.148955024549074,0.0725755725755726
"R.E.M.","Losing My Religion",0.892840721984059,0.741027053588029
"Ralph Tresvant","Sensitivity",0.120362544024081,0.0851381461364299
"Real McCoy","Another Night",0.749767919199301,0.437278248133462
"Real McCoy","Run Away",0.512466651186139,0.216579324422462
"Red Hot Chili Peppers","Under The Bridge",0.835011970607418,0.542599841089051
"Ricky Martin","Livin' La Vida Loca",0.922836785183773,0.789866597683809
"Ricky Martin","She's All I Ever Had",0.273572950549434,0.111142840310391
"Right Said Fred","I'm Too Sexy",0.717086079387864,0.305008417508418
"Rod Stewart","Downtown Train",0.202166522434594,0.0666398282340311
"Roxette","Dangerous",0.0839040082370404,0.101179366125018
"Roxette","Fading Like A Flower",0.136528580519002,0.158110676659064
"Roxette","It Must Have Been Love",0.619189185184276,0.429107820284291
"Roxette","Joyride",0.264710707611886,0.152384817569711
"SWV","Right Here",0.225372053526086,0.104764542927321
"SWV","Weak",0.140010722164264,0.0812815656565657
"Salt 'N Pepa","Shoop",0.469306796583974,0.260809071103189
"Salt 'N Pepa","Whatta Man",0.760461710926209,0.432135461144749
"Santana","Smooth",0.930520679997966,0.569471000176327
"Sarah McLachlan","Adia",0.434715643523506,0.12563792412676
"Sarah McLachlan","Angel",0.538447266345151,0.193381433381433
"Savage Garden","I Knew I Loved You",0.715085855661682,0.301115859449193
"Savage Garden","I Want You",0.559080716674952,0.137609995368616
"Savage Garden","Truly Madly Deeply",0.633496168201243,0.195978250649904
"Scorpions","Wind Of Change",0.247488365297112,0.31258872085485
"Seal","Kiss From A Rose",0.877161582684379,0.51486557678368
"Seduction","Two To Make It Right",0.224287750138172,0.140453789042499
"Shaggy","Boombastic",0.604677127602295,0.371050860592218
"Shai","If I Ever Fall In Love",0.193998293135974,0.0707374040707374
"Shania Twain","From This Moment On",0.487531514984844,0.22490107786177
"Shania Twain","You're Still The One",0.81529426904923,0.302973808007178
"Shanice","I Love Your Smile",0.197253796107514,0.0748084152689416
"Shanice","Saving Forever For You",0.151422483719232,0.141782002913041
"Sheryl Crow","All I Wanna Do",0.75842629593559,0.329596082557659
"Silk","Freak Me",0.112818597278689,0.0650494159928122
"Sinead O'Connor","Nothing Compares 2 U",0.294269804194679,0.13950365366774
"Sir Mix-A-Lot","Baby Got Back",0.841019093161263,0.76784532859693
"Sixpence None The Richer","Kiss Me",0.893562754295995,0.66264320517304
"Smash Mouth","All Star",0.95183183955656,0.923792119186856
"Snap!","The Power",0.920342466677239,0.883444158444159
"Snow","Informer",0.527581636174407,0.29433967362886
"Somethin' For The People","My Love Is The Shhh!",0.19613518489713,0.114810213940649
"Soul For Real","Candy Rain",0.14924074424646,0.0677609427609428
"Spice Girls, The","Wannabe",0.983006662554063,0.926499869434652
"Stevie B","Because I Love You",0.130527845900349,0.140283500206746
"Styx","Show Me The Way",0.157480141434413,0.121050815444408
"Sugar Ray","Every Morning",0.636905525477456,0.259534615852951
"Surface","The First Time",0.0757188543906455,0.0627547208006978
"Sweet Sensation","If Wishes Came True",0.0548862884485872,0.0515673149601721
"TLC","Baby-Baby-Baby",0.116890180123992,0.0785323545849862
"TLC","Creep",0.418878961946193,0.155975401010862
"TLC","No Scrubs",0.893036084626158,0.667104309897821
"TLC","Red Light Special",0.194438932376321,0.0666931216931217
"TLC","Unpretty",0.514645189883143,0.214719914719915
"TLC","Waterfalls",0.846265364930983,0.496891996891997
"Tag Team","Whoomp! There It Is",0.815550113973258,0.51433567610662
"Tara Kemp","Hold You Tight",0.0503953952916959,0.0372918317711038
"Taylor Dayne","I'll Be Your Shelter",0.0858426746283865,0.0734875257361578
"Taylor Dayne","Love Will Lead You Back",0.0543237304395671,0.0317228255824747
"Technotronic","Pump Up The Jam",0.645439081733161,0.424566186340787
"Third Eye Blind","Semi-Charmed Life",0.731401717086385,0.439704184852745
"Timmy T","One More Try",0.0925438216833522,0.103402557195127
"Tommy Page","I'll Be Your Everything",0.0714831811153844,0.060916271883253
"Toni Braxton","Breathe Again",0.184933654963056,0.124834041500708
"Toni Braxton","Un-Break My Heart",0.901616287412525,0.584686740240068
"Toni Braxton","You're Makin' Me High",0.224079202829203,0.114048352246882
"Tony Rich Project","Nobody Knows",0.240938870135762,0.0544106298176008
"Tracie Spencer","This House",0.0490235353804974,0.0578374700191338
"Tracy Chapman","Give Me One Reason",0.448424744892074,0.125487261187058
"UB40","Can't Help Falling In Love",0.505889812282141,0.271713522236318
"Usher","My Way",0.233809986662367,0.156916517803726
"Usher","Nice and Slow",0.198725025972212,0.0810818789690817
"Usher","You Make Me Wanna..",0.428589042924803,0.136889308946573
"Vanessa Williams and Brian McKnight","Love Is",0.206816967307087,0.0963082430083865
"Vanessa Williams","Colors Of The Wind",0.650754129611723,0.331696870667459
"Vanessa Williams","Save The Best For Last",0.422470305076337,0.123492793595075
"Vanilla Ice","Ice Ice Baby",0.682883088907992,0.460387068370577
"Vanilla Ice","Play That Funky Music",0.535401215614164,0.299518010507801
"Warren G","Regulate",0.447886325084568,0.196755412609071
"Whitney Houston","All The Man That I Need",0.208638052527614,0.130492926798151
"Whitney Houston","Exhale",0.320279394911305,0.194272507868999
"Whitney Houston","Heartbreak Hotel",0.239349071856693,0.0947279646530403
"Whitney Houston","I Believe In You And Me",0.31906154077984,0.263933815111351
"Whitney Houston","I Have Nothing",0.525907608622083,0.403866656415382
"Whitney Houston","I Will Always Love You",0.906713865872867,0.852950885796144
"Whitney Houston","I'm Every Woman",0.612103765202151,0.311195456590193
"Whitney Houston","I'm Your Baby Tonight",0.283941632927285,0.124013289929805
"Whitney Houston","It's Not Right But It's Okay",0.487116062177901,0.217454639513463
"Will Smith","Gettin' Jiggy Wit It",0.754669599939436,0.430956472434877
"Will Smith","Wild Wild West",0.757087806597247,0.280826679414588
"Wilson Phillips","Hold On",0.555076870890871,0.22856087979178
"Wilson Phillips","Impulsive",0.104148668256737,0.0773623848167459
"Wilson Phillips","Release Me",0.127726885649481,0.0602857434283383
"Wilson Phillips","You're In Love",0.130290049569802,0.0601262772315404
"Wreckx-N-Effect","Rump Shaker",0.46910117708596,0.148084561570169
"Xscape","Just Kickin' It",0.0921544680321669,0.0529230178423727
"diVINYLS","I Touch Myself",0.356766583123234,0.0939433422639097
